Event Id,Event Type,Event Timestamp,Message Timestamp,Timestamp Raw,Message,AE,Channel ID,Channel / Message Information
"279","ChannelHealth",02-04-2019 5:42:09.562000000pm EEST,02-04-2019 5:42:09.566pm EEST,"1549294929566","Type: ChannelHealth, EventId: 279, EventTime: 2019-02-04 15:42:09.562000000 UTC, ChannelId: 23867, Parent: CTA, Venue: CTA, Feed: CTS/CQS (Binary) - Temp Binary Production, ElementalFeed: Production - Line B, Channel: CTS 1 Network B 233.200.79.188:62188, NetworkPort: S77-P16, AE: 3, ReportInterval: 10 seconds, ReportMode: On Change, State: CHANNEL_DOWN, SystemName: TradeVision (S77), AnalyticsConfigTime: 2019-02-04 15:11:59.000855 UTC, Overflow: 0, VlanId: 1016",="3",="23867","CTS 1 Network B 233.200.79.188:62188,Parent: CTA, Venue: CTA, Feed: CTS/CQS (Binary) - Temp Binary Production, ElementalFeed: Production - Line B, NetworkPort: S77-P16, ReportInterval: 10 seconds, ReportMode: On Change, State: CHANNEL_DOWN, SystemName: TradeVision (S77), AnalyticsConfigTime: 2019-02-04 15:11:59.000855 UTC, Overflow: 0, VlanId: 1016"
"278","ChannelHealth",02-04-2019 5:42:09.562000000pm EEST,02-04-2019 5:42:09.565pm EEST,"1549294929565","Type: ChannelHealth, EventId: 278, EventTime: 2019-02-04 15:42:09.562000000 UTC, ChannelId: 23866, Parent: CTA, Venue: CTA, Feed: CTS/CQS (Binary) - Temp Binary Production, ElementalFeed: Production - Line B, Channel: CTS 1 Network A 233.200.79.172:62172, NetworkPort: S77-P16, AE: 3, ReportInterval: 10 seconds, ReportMode: On Change, State: CHANNEL_DOWN, SystemName: TradeVision (S77), AnalyticsConfigTime: 2019-02-04 15:11:59.000855 UTC, Overflow: 0, VlanId: 1016",="3",="23866","CTS 1 Network A 233.200.79.172:62172,Parent: CTA, Venue: CTA, Feed: CTS/CQS (Binary) - Temp Binary Production, ElementalFeed: Production - Line B, NetworkPort: S77-P16, ReportInterval: 10 seconds, ReportMode: On Change, State: CHANNEL_DOWN, SystemName: TradeVision (S77), AnalyticsConfigTime: 2019-02-04 15:11:59.000855 UTC, Overflow: 0, VlanId: 1016"
"277","ChannelHealth",02-04-2019 5:42:09.562000000pm EEST,02-04-2019 5:42:09.565pm EEST,"1549294929565","Type: ChannelHealth, EventId: 277, EventTime: 2019-02-04 15:42:09.562000000 UTC, ChannelId: 23862, Parent: CTA, Venue: CTA, Feed: CTS/CQS (Binary) - Temp Binary Production, ElementalFeed: Production - Line A, Channel: CTS 1 Network B 233.200.79.156:62156, NetworkPort: S77-P16, AE: 3, ReportInterval: 10 seconds, ReportMode: On Change, State: CHANNEL_DOWN, SystemName: TradeVision (S77), AnalyticsConfigTime: 2019-02-04 15:11:59.000855 UTC, Overflow: 0, VlanId: 1016",="3",="23862","CTS 1 Network B 233.200.79.156:62156,Parent: CTA, Venue: CTA, Feed: CTS/CQS (Binary) - Temp Binary Production, ElementalFeed: Production - Line A, NetworkPort: S77-P16, ReportInterval: 10 seconds, ReportMode: On Change, State: CHANNEL_DOWN, SystemName: TradeVision (S77), AnalyticsConfigTime: 2019-02-04 15:11:59.000855 UTC, Overflow: 0, VlanId: 1016"
"276","ChannelHealth",02-04-2019 5:42:09.562000000pm EEST,02-04-2019 5:42:09.565pm EEST,"1549294929565","Type: ChannelHealth, EventId: 276, EventTime: 2019-02-04 15:42:09.562000000 UTC, ChannelId: 23861, Parent: CTA, Venue: CTA, Feed: CTS/CQS (Binary) - Temp Binary Production, ElementalFeed: Production - Line A, Channel: CTS 1 Network A 233.200.79.140:62140, NetworkPort: S77-P16, AE: 3, ReportInterval: 10 seconds, ReportMode: On Change, State: CHANNEL_DOWN, SystemName: TradeVision (S77), AnalyticsConfigTime: 2019-02-04 15:11:59.000855 UTC, Overflow: 0, VlanId: 1016",="3",="23861","CTS 1 Network A 233.200.79.140:62140,Parent: CTA, Venue: CTA, Feed: CTS/CQS (Binary) - Temp Binary Production, ElementalFeed: Production - Line A, NetworkPort: S77-P16, ReportInterval: 10 seconds, ReportMode: On Change, State: CHANNEL_DOWN, SystemName: TradeVision (S77), AnalyticsConfigTime: 2019-02-04 15:11:59.000855 UTC, Overflow: 0, VlanId: 1016"
"275","TGHealth",02-04-2019 5:42:09.560000000pm EEST,02-04-2019 5:42:09.564pm EEST,"1549294929564","Type: TGHealth, EventId: 275, EventTime: 2019-02-04 15:42:09.560000000 UTC, GroupId: 1, GroupName: Group 1, NetworkPort: S77-P16, AE: 3, ReportInterval: 10 seconds, Utilization: Any, Rate: 2Gb/s, ReportMode: On Change, State: LOW_ACTIVITY, SystemName: TradeVision (S77), AnalyticsConfigTime: 2019-02-04 15:11:59.000855 UTC, Overflow: 0",="3","","GroupId: 1, GroupName: Group 1, NetworkPort: S77-P16, ReportInterval: 10 seconds, Utilization: Any, Rate: 2Gb/s, ReportMode: On Change, State: LOW_ACTIVITY, SystemName: TradeVision (S77), AnalyticsConfigTime: 2019-02-04 15:11:59.000855 UTC, Overflow: 0"
"274","ChannelHealth",02-04-2019 5:41:59.561000000pm EEST,02-04-2019 5:41:59.567pm EEST,"1549294919567","Type: ChannelHealth, EventId: 274, EventTime: 2019-02-04 15:41:59.561000000 UTC, ChannelId: 23867, Parent: CTA, Venue: CTA, Feed: CTS/CQS (Binary) - Temp Binary Production, ElementalFeed: Production - Line B, Channel: CTS 1 Network B 233.200.79.188:62188, NetworkPort: S77-P16, AE: 3, ReportInterval: 10 seconds, ReportMode: On Change, State: CHANNEL_UP, SystemName: TradeVision (S77), AnalyticsConfigTime: 2019-02-04 15:11:59.000855 UTC, Overflow: 0, VlanId: 1016",="3",="23867","CTS 1 Network B 233.200.79.188:62188,Parent: CTA, Venue: CTA, Feed: CTS/CQS (Binary) - Temp Binary Production, ElementalFeed: Production - Line B, NetworkPort: S77-P16, ReportInterval: 10 seconds, ReportMode: On Change, State: CHANNEL_UP, SystemName: TradeVision (S77), AnalyticsConfigTime: 2019-02-04 15:11:59.000855 UTC, Overflow: 0, VlanId: 1016"
"273","ChannelHealth",02-04-2019 5:41:59.561000000pm EEST,02-04-2019 5:41:59.566pm EEST,"1549294919566","Type: ChannelHealth, EventId: 273, EventTime: 2019-02-04 15:41:59.561000000 UTC, ChannelId: 23866, Parent: CTA, Venue: CTA, Feed: CTS/CQS (Binary) - Temp Binary Production, ElementalFeed: Production - Line B, Channel: CTS 1 Network A 233.200.79.172:62172, NetworkPort: S77-P16, AE: 3, ReportInterval: 10 seconds, ReportMode: On Change, State: CHANNEL_UP, SystemName: TradeVision (S77), AnalyticsConfigTime: 2019-02-04 15:11:59.000855 UTC, Overflow: 0, VlanId: 1016",="3",="23866","CTS 1 Network A 233.200.79.172:62172,Parent: CTA, Venue: CTA, Feed: CTS/CQS (Binary) - Temp Binary Production, ElementalFeed: Production - Line B, NetworkPort: S77-P16, ReportInterval: 10 seconds, ReportMode: On Change, State: CHANNEL_UP, SystemName: TradeVision (S77), AnalyticsConfigTime: 2019-02-04 15:11:59.000855 UTC, Overflow: 0, VlanId: 1016"
"272","ChannelHealth",02-04-2019 5:41:59.561000000pm EEST,02-04-2019 5:41:59.566pm EEST,"1549294919566","Type: ChannelHealth, EventId: 272, EventTime: 2019-02-04 15:41:59.561000000 UTC, ChannelId: 23862, Parent: CTA, Venue: CTA, Feed: CTS/CQS (Binary) - Temp Binary Production, ElementalFeed: Production - Line A, Channel: CTS 1 Network B 233.200.79.156:62156, NetworkPort: S77-P16, AE: 3, ReportInterval: 10 seconds, ReportMode: On Change, State: CHANNEL_UP, SystemName: TradeVision (S77), AnalyticsConfigTime: 2019-02-04 15:11:59.000855 UTC, Overflow: 0, VlanId: 1016",="3",="23862","CTS 1 Network B 233.200.79.156:62156,Parent: CTA, Venue: CTA, Feed: CTS/CQS (Binary) - Temp Binary Production, ElementalFeed: Production - Line A, NetworkPort: S77-P16, ReportInterval: 10 seconds, ReportMode: On Change, State: CHANNEL_UP, SystemName: TradeVision (S77), AnalyticsConfigTime: 2019-02-04 15:11:59.000855 UTC, Overflow: 0, VlanId: 1016"
"271","ChannelHealth",02-04-2019 5:41:59.561000000pm EEST,02-04-2019 5:41:59.565pm EEST,"1549294919565","Type: ChannelHealth, EventId: 271, EventTime: 2019-02-04 15:41:59.561000000 UTC, ChannelId: 23861, Parent: CTA, Venue: CTA, Feed: CTS/CQS (Binary) - Temp Binary Production, ElementalFeed: Production - Line A, Channel: CTS 1 Network A 233.200.79.140:62140, NetworkPort: S77-P16, AE: 3, ReportInterval: 10 seconds, ReportMode: On Change, State: CHANNEL_UP, SystemName: TradeVision (S77), AnalyticsConfigTime: 2019-02-04 15:11:59.000855 UTC, Overflow: 0, VlanId: 1016",="3",="23861","CTS 1 Network A 233.200.79.140:62140,Parent: CTA, Venue: CTA, Feed: CTS/CQS (Binary) - Temp Binary Production, ElementalFeed: Production - Line A, NetworkPort: S77-P16, ReportInterval: 10 seconds, ReportMode: On Change, State: CHANNEL_UP, SystemName: TradeVision (S77), AnalyticsConfigTime: 2019-02-04 15:11:59.000855 UTC, Overflow: 0, VlanId: 1016"
"270","TGHealth",02-04-2019 5:41:59.559000000pm EEST,02-04-2019 5:41:59.563pm EEST,"1549294919563","Type: TGHealth, EventId: 270, EventTime: 2019-02-04 15:41:59.559000000 UTC, GroupId: 1, GroupName: Group 1, NetworkPort: S77-P16, AE: 3, ReportInterval: 10 seconds, Utilization: Any, Rate: 2Gb/s, ReportMode: On Change, State: HEALTHY, SystemName: TradeVision (S77), AnalyticsConfigTime: 2019-02-04 15:11:59.000855 UTC, Overflow: 0",="3","","GroupId: 1, GroupName: Group 1, NetworkPort: S77-P16, ReportInterval: 10 seconds, Utilization: Any, Rate: 2Gb/s, ReportMode: On Change, State: HEALTHY, SystemName: TradeVision (S77), AnalyticsConfigTime: 2019-02-04 15:11:59.000855 UTC, Overflow: 0"
